line_number,lyric_text,song_id
1,He did it,172
2,He did it,172
3,Este's a friend of mine,172
4,We meet up every Tuesday night for dinner and a glass of wine,172
5,Este's been losing sleep,172
6,Her husband's acting different and it smells like infidelity,172
7,"She says, ""That ain't my merlot on his mouth""",172
8,"""That ain't my jewelry on our joint account""",172
9,"No, there ain't no doubt",172
10,"I think I'm gonna call him out, she says",172
11,"I think he did it, but I just can't prove it",172
12,"I think he did it, but I just can't prove it",172
13,"I think he did it, but I just can't prove it",172
14,"No, no body, no crime",172
15,But I ain't letting up until the day I die,172
16,"No, no",172
17,I think he did it,172
18,"No, no",172
19,He did it,172
20,Este wasn't there,172
21,"Tuesday night at Olive Garden, at her job, or anywhere",172
22,He reports his missing wife and I noticed,172
23,"When I passed his house, his truck has got some brand new tires",172
24,And his mistress moved in,172
25,Sleeps in Este's bed and everything,172
26,"No, there ain't no doubt",172
27,Somebody's gotta catch him out 'cause,172
28,"I think he did it, but I just can't prove it (He did it)",172
29,"I think he did it, but I just can't prove it (He did it)",172
30,"I think he did it, but I just can't prove it",172
31,"No, no body, no crime",172
32,But I ain't letting up until the day I die,172
33,"No, no",172
34,I think he did it,172
35,"No, no",172
36,He did it,172
37,Good thing my daddy made me get a boating license when I was fifteen,172
38,And I've cleaned enough houses to know how to cover up a scene,172
39,"Good thing Este's sister's gonna swear she was with me (She was with me, dude)",172
40,Good thing his mistress took out a big life insurance policy,172
41,"They think she did it, but they just can't prove it",172
42,"They think she did it, but they just can't prove it",172
43,"She thinks I did it, but she just can't prove it",172
44,"No, no body, no crime",172
45,I wasn't letting up until the day he,172
46,"No, no body, no crime",172
47,I wasn't letting up until the day he,172
48,"No, no body, no crime",172
49,I wasn't letting up until the day he,172
50,Died,172
