line_number,lyric_text,song_id
1,We were supposed to be just friends,201
2,"You don't live in my part of town, but maybe I'll see you out some weekend",201
3,Depending on what kind of mood and situation-ship I'm in,201
4,And what's in my system,201
5,"I think there's been a glitch, ah-yeah",201
6,"Five seconds later, I'm fastening myself to you with a stitch, ah-yeah",201
7,And I'm not even sorry,201
8,Nights are so starry,201
9,Blood moonlit,201
10,It must be counterfeit,201
11,"I think there's been a glitch, ah-yeah",201
12,I was supposed to sweat you out,201
13,In search of glorious happenings of happenstance on someone else's playground,201
14,"But it's been 2,190 days of our love blackout (Our love is blacking out)",201
15,The system's breaking down (The system's breaking down),201
16,"I think there's been a glitch, ah-yeah",201
17,"Five seconds later, I'm fastening myself to you with a stitch, ah-yeah",201
18,And I'm not even sorry,201
19,Nights are so starry,201
20,Blood moonlit,201
21,It must be counterfeit,201
22,"I think there's been a glitch, ah-yeah",201
23,A brief interruption,201
24,A slight malfunction,201
25,I'd go back to wanting,201
26,Dudes who give nothing,201
27,I thought we had no chance,201
28,And that's romance,201
29,Let's dance,201
30,"Glitch, ah-yeah",201
31,"Five seconds later I'm fastening myself to you with a stitch, ah-yeah",201
32,And I'm not even sorry,201
33,Nights are so starry,201
34,Blood moonlit (Blood moonlit),201
35,It must be counterfeit (It must be counterfeit),201
36,I think there's been a glitch,201
